,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
21,gp:AOqpTOELsSjuUBxD-ZCRQ0NmhY_5igPTbNBFR0DcRv69glOEZvcu9h8Pontx-ObOQqZmw9kF-TnllWS-mO-Qqg,Dipo Shil,https://play-lh.googleusercontent.com/a-/AOh14GhJsowCcheKqu6cKKhXgAkSvdvCGJzIfkA62XnAPA,"From last few DAYS! I have been facing following issue regarding follow and unfollow! I reported my problem saying that from last 5 days whenever I follow anyone popup is coming that ""we often restrict.....""I request you to Kindly fix this problem asap and improve my experience 🙏🏻🙏🏻🙏🏻🙏🏻",2,1,214.1.0.29.120,2021-12-04 16:44:43,,
22,gp:AOqpTOEisqtJm-0bVk1fmqjtvTz8QMJG5bs2ReSFHWpKnfIbK0wxrVGA2JVOIUWLl0oVRTsHhq002qKBGA_sSA,Arhaan Khan,https://play-lh.googleusercontent.com/a/AATXAJxbepsCME7rGUZZhUt6RMMmgLolMMkxfW6vnkiXLg=mo,"Dear instagram team, whenever i update this app it shows me a bug while sending text messages to my friends i am not able to receive their text. while i exit this app it doesnt show me any notification of this app on my phone lockscreen..i think this is one of big issues please fix it immediatelty and after this i will rate it out 5 stars",4,11,213.0.0.29.120,2021-11-16 09:58:01,,
23,gp:AOqpTOEdUp55iaD8iuLmmNQK7upeiqfJ8B6iXV3Y6Pb_asA46fAhX4hdPpJzQWC9aqFQhdeNDn-kS3rOYmlbww,Spandhana 5,https://play-lh.googleusercontent.com/a-/AOh14GhzOyIXoyIuAPvxfaTTuWnvKYDdo-oObgShkHqt7Q,This is the worst app always any problems occurs in this in my account from 4 days onwards you can't post try again later problem is coming I sent many reports to but no response the worst server it have always network issue or something else first it used to be nice but not now the worst app ever instagram should take care of there server and they should respond to customer issues 😤,2,83,214.1.0.29.120,2021-11-22 11:30:34,,
24,gp:AOqpTOHahRNT5vMmPmYyrc-_xk2DS2A6M1KVyl7-AWgdEU0XPp0Zb5frA3V5UiBP7xSNWTETw7REP4USRKo-lA,Rutuja,https://play-lh.googleusercontent.com/a/AATXAJwnhhwVoDX8NRFrtm5GdbhpbkRACp3y3I1p0zvwdA=mo,Why this app is getting worse day by day with unnessasary updates??? Before it was easy to use.. Reels were automatically used to save in gallery with audio .without posting it .features where working good.. Then why they are keep updating it on the weekly basis. Pls bring back the old version of instagram.,1,21,214.1.0.29.120,2021-11-30 00:38:35,,
25,gp:AOqpTOEsTxYO4gSNXgOkCToYOFFj0c4RYrwbOHgZLj6E4auF4BeWhly-vKgiHgN6uOGdK9AI_mJOZDqOomNbYw,Vavel Fernandes,https://play-lh.googleusercontent.com/a-/AOh14GggmBf9xB7cfjSwXEnl7G98aze39GGrGlPALLbI6A,"I have used instagram seens 7 to 8 months. It is very nice, but suddenly my story stopped working and i cant post story. It is saying instagram keeps stopping when i open to put story. From yesterday , so i request to fix my problem as fast as possible. So till now only one ⭐",5,65,214.1.0.29.120,2021-11-22 19:17:36,,
26,gp:AOqpTOG1pR5JzZfXg9pZiAhiDzmMfLyc216p6476J0J7x7ALh5dMIRxjjoDtw3xwcJmC0iDISR1Dpmonxof1Lg,Nandhini S Nadarajan,https://play-lh.googleusercontent.com/a-/AOh14GhkBvMSP5QuYliHDhLfS7XVVZX2_XNq0tMFkvyUtQ,"It's really good,but it's sometimes doesn't work properly. While making a post it automatically closes,and even the work done also lost and now I'm not being able to post reels",3,4,214.0.0.27.120,2021-11-22 17:26:44,,
27,gp:AOqpTOF-FvePiWrS8iTbGdfXZmcm41RP3rsQ_7QEDZZ6GzTCdxQF625kv2o_kSKhwfgvtE5G1jMP3_6JxKRT7g,Payel Roy,https://play-lh.googleusercontent.com/a-/AOh14GjFet0qj3uRPMDSRoBTnj0dRlQjhxy8lKGe1vhwOA,"I have faced problem in Instagram from more than a 10 days..It shows just ""couldn't refresh feed"" and if I want to log in from google account then it shows ""confirm your information in app""... It's really a headache now.. Please fix this problem..",1,65,214.1.0.29.120,2021-11-22 18:02:21,,
28,gp:AOqpTOGy-jTP9kAaJTs59HQbpp4p_Mdcqeyr2S3aNI0C3ZjwV_NSd3bTLr2bhSLDkrOBpbyqTq5kQC1C0IBosg,Sujata Agarwal,https://play-lh.googleusercontent.com/a/AATXAJxJF8Bc1249JDy-B-67ipfJllP-HsucaJZp7Fx-=mo,"The app keeps on hanging and doesn't open despite it being updated. I also tried switching off my phone and restarting it, even then the problem persisted. Please look into the matter and resolve my issue.",1,17,213.0.0.29.120,2021-11-12 11:28:29,,
29,gp:AOqpTOG8RzkS9v_9adAvb1e2_THN0e1AmIIOyYh4wwi784D74uVIq12sNx80XDCpULI0s-w2Z-vmKLjyp1xLrw,Arya R,https://play-lh.googleusercontent.com/a-/AOh14GgD39boqVx3Qa-AKcLJW31jbcAJxiJIen_oVtmqWQ,"I'm having a huge problem, I recently noticed that and old insta Id of mine, named ramandeeprawal where I have uploaded my picture is still there, but I have lost its password and I'm not using the same number through which i signed up.. Now I can't get it back.. I just want the insta team to delete that account if they can't give me the password back... because I feel insecure with that photo and anyone can access it",3,29,214.1.0.29.120,2021-12-03 03:51:06,,
30,gp:AOqpTOEw-YY67GsOyU0JcsvVGrnWfQiaHQSP4CAtvZXI2ymnGYTZ6WkAMX3dMBc-LTQxgCDHca2kxKwo_oybUQ,Tanvi Prashanth,https://play-lh.googleusercontent.com/a-/AOh14GjkvuoPnJpNeQ4hgkI5tipcE9DDIVRh-iRPH5q8,"It's the worst thing ever seriously what the hell , i have been trying for months to this issue , the couldn't refresh feed is coming up for too long .",1,3,214.1.0.29.120,2021-11-28 17:48:33,,
31,gp:AOqpTOH4WR3tK459Y5MGZwhdTpB9DSX-GFHySkLBlh5yy8DowPyNduf82b3EntFFuUnSzVaD5eabXKA-Z0u7NQ,Antriksh Dixit,https://play-lh.googleusercontent.com/a/AATXAJzVZ_w2y6irxszL15rGDtRgKLZPgrAsRDrUJBSY=mo,This is the worst update I have ever received from Instagram. It's the only social media platform I use so frequently but now wherever someone posts a reel on my feed I'm not able to view it unless I go to their profile and see it under reels section. Fix that ASAP.,1,3,214.1.0.29.120,2021-11-28 10:21:01,,
32,gp:AOqpTOF7o5srDnaNCV0yIM_ODlgld-Au20M_eKL2c8YxifBAVLzA5dY_l206eaoauLULPn5JhjjnupSvv8ItUA,Haritha Ramesh,https://play-lh.googleusercontent.com/a-/AOh14GhqL4UEuzJh3dovzFg5j-UjDW95Dk0mFIu6_6G6KA,The app was working fine until one day the explore feed stopped loading. The content on the explore feed is repetitively showing the same posts everyday even after trying to refresh. Tried to uninstall and reinstall the app but the problem still persists.,1,19,215.0.0.0.245,2021-12-02 00:18:26,,
33,gp:AOqpTOGy4yAc9Mc1GR-E563gBP7YxQDobiZHCCqwPQfpVNswVZULja6FNxCQf1tN-qWMaxC3rG6lqH7e-iuMsg,Gurmeet Singh,https://play-lh.googleusercontent.com/a-/AOh14Gj82pnZtZ-flxksa6y2Q0oPd3WoirlXAimFHVnP,Useless app. Unable to access my account since a week. Asking me to do face verification for no reason. Even that page is not acessible. Same thing happening on their website. Uninstalled the app. Never bother using instagram ever again.,1,13,213.0.0.29.120,2021-11-13 09:50:14,,
34,gp:AOqpTOHu-p209KY9kDd_QPsnOxMZG1CHOToXGwELWsQwC_v0il88hUif2GQVba0HhF4BUXU_com-UKDCkNFfEw,shivangi dubey,https://play-lh.googleusercontent.com/a-/AOh14GgictI5qjBptfVGPp2EKcvNrC6_P2qvh-cONg7Gpw,I made a new account a few months ago nd have been using that one since but few days ago I realised that my account still has the old direct messaging settings. the problem is that the account I used previously had the latest settings but new account didn't... chat theme settings is not there reply by sliding other texts many more problems in facing please look at it..,1,23,214.1.0.29.120,2021-12-03 22:38:10,,
35,gp:AOqpTOHXSE4cfBaxcrRxnWtICDXxZoudULYOU7WpDU8pVKzLYmdZJMi8q5FG46tA6WCZiFwn7U1OuqKChMmvQA,Niharika Divekar,https://play-lh.googleusercontent.com/a/AATXAJyNQLQ1RqqHtdap9XTZbiiL0ukWSbHIPST5orX0=mo,"It worked fine before, but the past two weeks or so my explore page shows me the same posts over and over again and shows me just a page of them and just the + sign at the end. Clicking the + doesn't load anything else either.",2,20,213.0.0.29.120,2021-11-10 09:48:19,,
36,gp:AOqpTOF3TG7IkUyQxImc1oRoqBiGMbCIg-bmmHTeSxaaYgE5lbCCqbXQferG6w1SLOw1p29a0_qSrEtI-71tSw,Dussa Danunjay,https://play-lh.googleusercontent.com/a-/AOh14GifN8mAyGYTra52eHnkgL9KvPGkR7NFWCo8CNIZqF4,What is happening with my account? It's so frustrating that I can't login my account. It's always coming error and dismiss. I already informed this issue but nothing happened. If it continues like that u may loose your customers! CLEAR THIS ASAP!!!,1,360,214.1.0.29.120,2021-11-27 13:41:13,,
